9:00 AM|10:00 AM|Registration||
10:00 AM|10:45 AM|zkLedger: How I learned to stop worrying and love auditing|Opening Talk|Neha Narula
10:45 AM|11:05 AM|Are DAG-based protocols novel?|Talk/Presentation|Yonatan Sompolinsky
11:05 AM|11:20 AM|Break||
11:20 AM|11:40 AM|Trusted-Hardware and Blockchain Alchemy: Oracles, Paralysis Proofs, Exchanges & more|Talk/Presentation|Ari Juels
11:40 AM|12:00 PM|Streaming Payments and the Future of Interoperability|Talk/Presentation|Evan Schwartz
12:00 PM|12:20 PM|0x: An Open Protocol For Low-Friction P2P Exchange|Talk/Presentation|Will Warren
12:20 PM|12:40 PM|GasToken: A Journey Through Blockchain Resource Arbitrage|Talk/Presentation|Florian Tramer
12:40 PM|1:00 PM|Wallet Security |Talk/Presentation|Charles Guillemet
1:00 PM|2:00 PM|Lunch||
2:00 PM|2:30 PM|Thunderella: Blockchains with Optimistic Instant Confirmation|Talk/Presentation|Elaine Shi
2:30 PM|2:50 PM|Towards transaction privacy|Talk/Presentation|Rebekah Mercer
2:50 PM|3:10 PM|Fast and Private Off-Chain Payments|Talk/Presentation|Stefanie Roos
3:10 PM|3:25 PM|Break||
3:25 PM|3:55 PM|Algorand: A Truly Distributed Ledger|Talk/Presentation|Silvio Macali
3:55 PM|4:15 PM|The Tokenization of Everything|Talk/Presentation|Jeremy Allaire
4:15 PM|4:45 PM|Closing Keynote|Keynote|Taylor Monahan
4:45 PM|5:00 PM|Closing Remarks by the MIT Bitcoin Club President|Expo Closing Talk|Erick Pinos
